_sim,151.417,150.84,149.973,149.607,151.426,150.801,149.967,149.595,151.433,150.777,149.949,149.551
obs,151.4526,150.8255,149.9969,149.6241,151.4613,150.8038,149.9794,149.5814,151.468,150.787,149.9698,149.5852
_sim,151.427,150.802,149.975,149.596,151.434,150.778,149.969,149.552,151.44,150.76,149.95,149.554
obs,151.4613,150.8038,149.9969,149.5814,151.468,150.787,149.9794,149.5852,151.3986,150.7916,149.9698,149.581
_sim,151.435,150.779,149.97,149.553,151.441,150.761,149.951,149.555,151.37,150.764,149.94,149.55
obs,151.468,150.787,149.9794,149.5852,151.3986,150.7916,149.9698,149.581,151.3465,150.7571,149.9502,149.553
_sim,151.441,150.762,149.94,149.556,151.371,150.765,149.919,149.551,151.317,150.729,149.915,149.52
obs,151.3986,150.7916,149.9502,149.581,151.3465,150.7571,149.9476,149.553,151.3412,150.7319,149.9378,149.5374
_sim,151.371,150.765,149.92,149.551,151.317,150.729,149.916,149.521,151.311,150.703,149.905,149.505
obs,151.3465,150.7571,149.9476,149.553,151.3412,150.7319,149.9378,149.5374,151.3373,150.7201,149.9193,149.541
_sim,151.318,150.73,149.906,149.522,151.312,150.704,149.886,149.506,151.307,150.691,149.876,149.508
obs,151.3412,150.7319,149.9193,149.5374,151.3373,150.7201,149.9097,149.541,151.3204,150.6919,149.9161,149.5238
_sim,151.313,150.705,149.888,149.507,151.308,150.692,149.877,149.509,151.29,150.663,149.883,149.491
obs,151.3373,150.7201,149.9097,149.541,151.3204,150.6919,149.9161,149.5238,151.3035,150.6898,149.8935,149.509
_sim,151.309,150.693,149.889,149.51,151.292,150.664,149.879,149.493,151.274,150.661,149.885,149.477
obs,151.3204,150.6919,149.9097,149.5238,151.3035,150.6898,149.9161,149.509,151.2917,150.6835,149.8935,149.5067
_sim,151.293,150.665,149.88,149.494,151.275,150.662,149.886,149.478,151.263,150.655,149.863,149.475
obs,151.3035,150.6898,149.9161,149.509,151.2917,150.6835,149.8935,149.5067,151.2873,150.6847,149.8899,149.5065
_sim,151.277,150.663,149.887,149.48,151.264,150.656,149.865,149.477,151.26,150.657,149.861,149.477
